,해구번호,유의파고(m),파향(deg),최대파주기(sec),풍속(m/s),풍향(deg)
577,588,1.1,136,9.7,7.3,235
578,589,1.0,120,9.9,6.9,227
579,590,1.0,121,9.9,7.0,227
580,591,1.0,126,9.8,7.1,229
581,592,1.1,131,9.7,7.2,231
582,593,1.1,132,9.7,7.2,232
583,594,1.1,133,9.7,7.1,234
584,595,1.0,121,9.9,7.0,223
585,596,1.0,124,9.9,7.1,224
586,597,1.0,126,9.8,7.0,225
587,598,1.0,125,9.8,6.8,226
588,599,1.0,125,9.7,6.7,226
589,600,1.0,124,9.7,6.6,226
590,601,0.0,98,3.1,1.7,320
591,602,0.1,106,4.9,1.8,159
592,603,0.0,66,8.7,2.7,299
593,604,0.0,68,7.4,3.0,129
594,605,0.3,156,6.3,5.5,177
595,606,0.5,145,9.2,5.0,196
596,607,0.5,133,9.2,5.2,200
597,608,0.5,126,9.3,5.2,203
598,609,0.5,118,9.3,4.9,203
599,610,0.4,114,9.3,4.5,207
600,615,0.6,161,8.2,6.4,191
601,616,0.6,145,9.2,5.8,198
602,617,0.5,127,9.3,5.1,200
603,618,0.5,116,9.3,5.4,198
604,619,0.5,109,9.4,4.9,197
605,620,0.5,105,9.4,3.8,201
606,624,0.3,139,7.8,6.9,183
607,625,0.6,134,9.3,6.1,196
608,626,0.6,123,9.3,5.1,199
609,627,0.5,118,9.3,4.9,200
610,628,0.5,110,9.4,5.0,194
611,629,0.5,105,9.4,4.0,197
612,630,0.5,100,9.5,2.9,199
613,633,0.2,143,7.9,5.2,191
614,634,0.5,123,9.3,5.3,198
615,635,0.6,117,9.3,4.8,198
616,636,0.6,115,9.3,4.2,202
617,637,0.6,113,9.3,4.6,201
618,638,0.5,109,9.4,4.5,188
619,639,0.5,104,9.5,3.5,188
620,640,0.5,97,9.7,2.7,189
621,642,0.2,134,9.4,5.1,168
622,643,0.4,120,9.4,4.7,176
623,644,0.6,117,9.4,4.6,184
624,645,0.6,115,9.3,4.4,189
625,646,0.6,113,9.3,4.3,194
626,647,0.6,110,9.4,4.3,188
627,648,0.6,108,9.4,4.0,179
628,649,0.6,104,9.5,3.1,172
629,650,0.5,100,9.6,2.3,176
630,651,0.3,122,9.3,2.8,129
631,652,0.4,122,9.3,3.6,141
632,653,0.5,118,9.3,3.8,146
633,654,0.6,116,9.3,3.9,158
634,655,0.6,114,9.4,3.5,176
635,656,0.6,109,9.4,3.3,187
636,657,0.6,107,9.5,3.5,179
637,658,0.6,106,9.5,3.5,170
638,659,0.6,105,9.5,2.5,158
639,660,0.6,104,9.6,1.5,159
640,661,0.4,111,9.1,3.9,108
641,662,0.5,109,9.3,3.6,111
642,663,0.6,108,9.4,2.6,126
643,664,0.6,109,9.5,2.5,155
644,665,0.6,108,9.7,3.6,165
645,666,0.6,104,9.7,3.5,171
646,667,0.6,104,9.7,3.2,168
647,668,0.6,105,9.6,3.2,151
648,669,0.6,107,9.6,1.9,139
649,670,0.6,108,9.7,0.7,96
650,671,0.4,99,9.5,3.5,85
651,672,0.5,97,9.6,2.1,90
652,673,0.5,99,9.7,1.2,139
653,674,0.6,100,9.7,2.0,158
654,675,0.6,102,9.7,3.5,154
655,676,0.6,101,9.6,2.9,160
656,677,0.6,101,9.6,2.7,162
657,678,0.6,103,9.5,2.5,140
658,679,0.6,106,9.4,2.1,106
659,680,0.6,108,9.3,1.1,55
660,681,0.4,87,9.9,2.9,45
661,682,0.5,88,9.8,1.0,60
662,683,0.5,92,9.6,1.1,119
663,684,0.5,97,9.6,2.8,122
664,685,0.5,98,9.5,3.1,139
665,686,0.5,99,9.4,2.4,142
666,687,0.5,100,9.4,2.2,150
667,688,0.6,100,9.4,2.4,137
668,689,0.6,102,9.4,2.0,124
669,690,0.6,105,9.3,1.5,74
670,691,0.3,76,10.1,2.2,355
671,692,0.3,73,10.1,0.9,289
672,693,0.3,73,10.0,1.9,39
673,694,0.5,91,9.5,3.8,114
674,695,0.5,96,9.6,3.0,132
675,696,0.5,94,9.6,2.7,128
676,697,0.5,93,9.5,1.7,123
